DEBUG:PIL.Image: Importing BmpImagePlugin (2017-03-25 19:39:28; Image.py:397)
DEBUG:PIL.Image: Importing BufrStubImagePlugin (2017-03-25 19:39:28; Image.py:397)
DEBUG:PIL.Image: Importing CurImagePlugin (2017-03-25 19:39:28; Image.py:397)
DEBUG:PIL.Image: Importing DcxImagePlugin (2017-03-25 19:39:29; Image.py:397)
DEBUG:PIL.Image: Importing DdsImagePlugin (2017-03-25 19:39:29; Image.py:397)
DEBUG:PIL.Image: Importing EpsImagePlugin (2017-03-25 19:39:29; Image.py:397)
DEBUG:PIL.Image: Importing FitsStubImagePlugin (2017-03-25 19:39:29; Image.py:397)
DEBUG:PIL.Image: Importing FliImagePlugin (2017-03-25 19:39:29; Image.py:397)
DEBUG:PIL.Image: Importing FpxImagePlugin (2017-03-25 19:39:29; Image.py:397)
DEBUG:PIL.Image: Importing FtexImagePlugin (2017-03-25 19:39:29; Image.py:397)
DEBUG:PIL.Image: Importing GbrImagePlugin (2017-03-25 19:39:29; Image.py:397)
DEBUG:PIL.Image: Importing GifImagePlugin (2017-03-25 19:39:29; Image.py:397)
DEBUG:PIL.Image: Importing GribStubImagePlugin (2017-03-25 19:39:29; Image.py:397)
DEBUG:PIL.Image: Importing Hdf5StubImagePlugin (2017-03-25 19:39:29; Image.py:397)
DEBUG:PIL.Image: Importing IcnsImagePlugin (2017-03-25 19:39:29; Image.py:397)
DEBUG:PIL.Image: Importing IcoImagePlugin (2017-03-25 19:39:29; Image.py:397)
DEBUG:PIL.Image: Importing ImImagePlugin (2017-03-25 19:39:29; Image.py:397)
DEBUG:PIL.Image: Importing ImtImagePlugin (2017-03-25 19:39:29; Image.py:397)
DEBUG:PIL.Image: Importing IptcImagePlugin (2017-03-25 19:39:29; Image.py:397)
DEBUG:PIL.Image: Importing JpegImagePlugin (2017-03-25 19:39:29; Image.py:397)
DEBUG:PIL.Image: Importing Jpeg2KImagePlugin (2017-03-25 19:39:29; Image.py:397)
DEBUG:PIL.Image: Importing McIdasImagePlugin (2017-03-25 19:39:29; Image.py:397)
DEBUG:PIL.Image: Importing MicImagePlugin (2017-03-25 19:39:29; Image.py:397)
DEBUG:PIL.Image: Importing MpegImagePlugin (2017-03-25 19:39:29; Image.py:397)
DEBUG:PIL.Image: Importing MpoImagePlugin (2017-03-25 19:39:30; Image.py:397)
DEBUG:PIL.Image: Importing MspImagePlugin (2017-03-25 19:39:30; Image.py:397)
